Cpd-AddOnMass,Note,RT,m/z,charge,Height(MS1),Height(MS2),Matched Counts,Matched(%)
5_4_1_1-0(0),Sialofucosyalted,25.697166666666664,1039.8800150000002,2,26543.840094238294,0,0,0.0%
5_4_1_1-0(1),Sialofucosyalted,26.752666666666666,1039.8800150000002,2,349928.90426726,633167.1717704277,15,100.0%
5_4_1_1-0(2),Sialofucosyalted,27.947499999999998,1039.8800150000002,2,8681313.140709601,11660978.849953294,15,100.0%
