Cpd-AddOnMass,Note,RT,m/z,charge,Height(MS1),Height(MS2),Matched Counts,Cov. Sequence,Cov. Int
5_4_0_1-0(0),Sialylated,27.244500000000002,966.8510600000001,2,3718216.1454157596,3219138.24269906,15,100.0%,27.50764441818896%
5_4_0_1-0(1),Sialylated,28.158333333333335,966.8510600000001,2,42516075.205091804,38890529.654967524,15,100.0%,29.96333104312153%
