Molecule Name	Molecule Structure	Molecule Formula	Precursor charge	Precursor m/z (native)	Precursor m/z (reduced)	Product Name	Product Formula	Product m/z (native)	Product m/z (reduced)	Product Charge
1_2_1_0_0_1_a	(J(F)(N(H(X))))	C33H54O23N2	1	865.3301330000002	867.3457830000001	J(1)F(1)N(1)	C22H36N2O14	571.2350438754	573.2506938754	1
1_2_1_0_0_1_a	(J(F)(N(H(X))))	C33H54O23N2	1	865.3301330000002	867.3457830000001	J(1)N(1)H(1)	C22H36N2O15	587.2299584975	589.2456084975	1
1_2_1_0_0_1_a	(J(F)(N(H(X))))	C33H54O23N2	1	865.3301330000002	867.3457830000001	N(1)H(1)X(1)	C19H31N1O14	498.1822847097	498.1822847097	1
1_2_1_0_0_1_a	(J(F)(N(H(X))))	C33H54O23N2	1	865.3301330000002	867.3457830000001	J(1)F(1)N(1)H(1)	C28H46N2O19	733.2878673069	735.3035173069	1
1_2_1_0_0_1_a	(J(F)(N(H(X))))	C33H54O23N2	1	865.3301330000002	867.3457830000001	J(1)N(1)H(1)X(1)	C27H44N2O19	719.2722172427	721.2878672427	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	J(1)	C8H13N1O5	222.097762533	224.113412533	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	N(1)	C8H13N1O5	204.087202533	204.087202533	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	H(2)	C12H20N0O10	325.113476863	325.113476863	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	N(1)H(1)	C14H23N1O10	366.1400259645	366.1400259645	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	H(3)	C18H30N0O15	487.16630029450005	487.16630029450005	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	J(1)N(1)H(1)	C22H36N2O15	587.2299584975	589.2456084975	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	N(1)H(2)	C20H33N1O15	528.192849396	528.192849396	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	J(1)N(1)H(2)	C28H46N2O20	749.2827819290001	751.298431929	1
3_2_0_0_a	(J(N(H(H(H)))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	N(1)H(3)	C26H43N1O20	690.2456728275	690.2456728275	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	J(1)	C8H13N1O5	222.097762533	224.113412533	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	N(1)	C8H13N1O5	204.087202533	204.087202533	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	H(2)	C12H20N0O10	325.113476863	325.113476863	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	H(1)N(1)	C14H23N1O10	366.1400259645	366.1400259645	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	N(1)H(1)	C14H23N1O10	366.1400259645	366.1400259645	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	H(2)N(1)	C20H33N1O15	528.192849396	528.192849396	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	J(1)N(1)H(1)	C22H36N2O15	587.2299584975	589.2456084975	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	N(1)H(2)	C20H33N1O15	528.192849396	528.192849396	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	J(1)N(1)H(2)	C28H46N2O20	749.2827819290001	751.298431929	1
2_3_0_0_a	(J(N(H(H(N)))))	C36H59O25N3	1	952.3621620000001	954.3778120000001	N(2)H(2)	C28H46N2O20	731.272221929	731.272221929	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	J(1)	C8H13N1O5	222.097762533	224.113412533	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	N(1)	C8H13N1O5	204.087202533	204.087202533	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	H(2)	C12H20N0O10	325.113476863	325.113476863	1
