TITLE,formula,isotopic1,isotopic2,isotopic3,isotopic1_peak,isotopic2_peak,isotopic3_peak,T_isotopic1,T_isotopic2,T_isotopic3,T_isotopic1_peaks,T_isotopic2_peaks,T_isotopic3_peaks,norm_isotopic_isotopic1_peak,norm_isotopic_isotopic2_peak,norm_isotopic_isotopic3_peak,cosine_similarity
5_4_0_0-0(0),C62H104N4O46,821.304931640625,821.8070678710938,822.3052368164062,323781.375,185320.5625,58816.828125,821.3033624668119,821.801879866812,822.3035572668119,100.0,72.03790650189498,34.94022129985423,100.0,57.23632574603774,18.165599588611297,0.868
5_4_0_1-0(0),C73H121N5O54,966.8533935546876,967.3549194335938,967.8560180664062,4201809.0,3405640.0,1888226.625,966.851070666812,967.3495881668119,967.851265566812,100.0,84.90198829813852,46.57221657276222,100.0,81.05175651725244,44.938421165740756,0.957
5_4_0_1-0(1),C73H121N5O54,966.8527221679688,967.3538818359376,967.8548583984376,49610172.0,42096348.0,22140758.0,966.851070666812,967.3495881668119,967.851265566812,100.0,84.90198829813852,46.57221657276222,100.0,84.8542673869383,44.6294723590154,0.956
5_4_1_1-0(0),C79H131N5O58,1039.8861083984375,1040.3895263671875,1040.89306640625,34592.7421875,23926.40234375,10583.5908203125,1039.880025066812,1040.378542566812,1040.880219966812,100.00000000000001,91.7139082603947,53.359995860398726,100.0,69.16596034527655,30.594830450119254,0.92
5_4_1_1-0(1),C79H131N5O58,1039.8831787109375,1040.3843994140625,1040.8863525390625,408645.4375,404075.4375,241909.6875,1039.880025066812,1040.378542566812,1040.880219966812,100.00000000000001,91.7139082603947,53.359995860398726,100.0,98.88167110638547,59.19794161411627,0.977
5_4_1_1-0(2),C79H131N5O58,1039.8819580078125,1040.38330078125,1040.884521484375,9601588.0,8782100.0,5194263.5,1039.880025066812,1040.378542566812,1040.880219966812,100.00000000000001,91.7139082603947,53.359995860398726,100.0,91.46507848493395,54.097962753661164,0.972
