Cpd-AddOnMass,Note,RT,m/z,charge,Height(MS1),Height(MS2),Matched Counts,Cov. Sequence,Cov. Int
5_4_0_1-0(0),Sialylated,27.244500000000002,966.8510600000001,2,3718216.1454157596,3219138.24269906,15,100.0%,27.50764441818896%
5_4_0_1-0(1),Sialylated,28.158333333333335,966.8510600000001,2,42516075.205091804,38890529.654967524,15,100.0%,29.96333104312153%
5_4_0_0-0(0),Neutral,28.158333333333335,821.30335,2,239350.1316290222,2098902.9986855034,15,100.0%,63.68429874083655%
5_4_1_1-0(0),Sialofucosyalted,25.697166666666664,1039.8800150000002,2,26543.840094238294,0,0,0.0%,0.0%
5_4_1_1-0(1),Sialofucosyalted,26.752666666666666,1039.8800150000002,2,349928.90426726,825963.5221702211,15,100.0%,59.97686040513731%
5_4_1_1-0(2),Sialofucosyalted,27.947499999999998,1039.8800150000002,2,8681313.140709601,15437615.197663136,15,100.0%,53.847412910564266%
