subtype,Height (MS1),Relative Height (MS1 %),Height (MS2),Relative Height (MS2 %)
Sialylated,46234291.350507565,83.25788394520856,42109667.89766658,69.6348123308583
Neutral,239350.1316290222,0.4310174309878496,2098902.9986855034,3.470858919365634
Sialofucosyalted,9057785.885071099,16.311098623803584,16263578.71983336,26.89432874977607
